,Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
18,Raw Deal,1986-06-06,"Mark Kaminsky is kicked out of the FBI for his rough treatment of a suspect. He winds up as the sheriff of a small town in North Carolina. FBI Chief Harry Shannon, whose son has been killed by a mobster named Patrovina, enlists Kaminsky in a personal vendetta with a promise of reinstatement into the FBI if Patrovina is taken down. To accomplish this, he must go undercover and join Patrovina's gang.",5.8,761,en,Action;Crime;Thriller,106,The system gave him a raw deal. Nobody gives him a raw deal.,8500000.0,16209459.0,DEG;Famous Films Productions;International Film Corporation,Netherlands;United States of America,English,tt0091828
19,Barbarosa,1982-02-19,"Karl Westover, an inexperienced farm boy, runs away after unintentionally killing a neighbor, whose family pursues him for vengeance. He meets Barbarosa, a gunman of near-mythical proportions, who is himself in danger from his father-in-law Don Braulio, a wealthy Mexican rancher. Don Braulio wants Barbarosa dead for marrying his daughter against the father's will. Barbarosa reluctantly takes the clumsy Karl on as a partner, as both of them look to survive the forces lining up against them.",5.806,36,en,Western;Action,90,The outlaw...the outcast...and the legend that was bigger than both of them.,13112079.2,1736123.0,"ITC Entertainment;Universal Pictures;Witliff, Nelson and Busey Productions;Associated Film Distribution",United Kingdom;United States of America,English,tt0083619
20,Crocodile Dundee II,1988-05-19,Australian outback expert protects his New York love from gangsters who've followed her down under.,5.828,1071,en,Adventure;Comedy,110,The world's favorite adventurer is back for more. Much more!,14000000.0,239606210.0,Paramount Pictures,Australia;United States of America,English,tt0092493
21,Street Smart,1987-03-20,A New York journalist lies when his fake story about a pimp describes a real pimp up for murder.,5.873,71,en,Thriller;Crime;Drama,97,Never let the truth ruin a good story.,13112079.2,63838039.304709144,Golan-Globus Productions;The Cannon Group,United States of America;Canada,English,tt0094056
22,Personal Best,1982-02-05,"Young sprinter Chris Cahill is having difficulty reaching her potential as an athlete, until she meets established track star Tory Skinner. As Tory and her coach help Chris with her training, the two women form friendship that evolves into a romantic relationship. Their intimacy, however, becomes complicated when Chris' improvement causes them to be competitors for the Olympic team.",5.902,41,en,Drama,124,When you run into yourself you run into feelings you never thought you had,15000000.0,5700000.0,Geffen Pictures;Warner Bros. Pictures,United States of America,English;Español,tt0084489
23,Class,1983-07-22,"Naive Midwestern prep student Jonathan bonds with his more worldly roommate, Skip, who takes the small-town boy under his wing. At Skip's urging, the inexperienced Jonathan is emboldened to seek out older women in the cocktail lounges of nearby Chicago, where he meets and beds the alluring Ellen, who unfortunately turns out to be Skip's mother. The division between the friends is further deepened when a cheating scandal engulfs the school.",5.918,170,en,Comedy;Drama,98,The good news is Jonathan's having his first affair. The bad news is she's his roommate's mother.,7000000.0,21600000.0,Orion Pictures,United States of America,English,tt0085346
24,Private Benjamin,1980-10-06,A sheltered young high society woman joins the US Army on a whim and finds herself in a more difficult situation than she ever expected.,5.939,369,en,Comedy,110,The Army was no laughing matter until Judy Benjamin joined it.,15000000.0,69800000.0,Warner Bros. Pictures,United States of America,English,tt0081375
25,Where the Buffalo Roam,1980-04-25,Semi-biographical film based on the experiences of gonzo journalist Hunter S. Thompson.,5.943,159,en,Comedy,99,This ain't no safari- it's a party,13112079.2,6659377.0,Universal Pictures,United States of America,English,tt0081748
26,Dragnet,1987-06-23,"LAPD Sgt. Joe Friday -- the equally straight-laced nephew of the famous police sergeant of the same name -- is paired up with a young, freewheeling detective named Pep Streebeck. After investigating some strange robberies at the local zoo and the theft of a stockpile of pornographic magazines, they uncover cult activity in the heart of the city and are hot on the case to figure out who's behind it all.",5.948,467,en,Action;Comedy;Crime,106,"""Just The Facts.""",20000000.0,66700000.0,Universal Pictures,United States of America,English,tt0092925
27,Ghosts... of the Civil Dead,1988-08-01,"The inmates and guards of a modern, clean and efficient maximum security wing are slowly and increasingly brutalized until they erupt in violence.",5.953,32,en,Crime;Drama,93,They come Back to haunt you.,13112079.2,63838039.304709144,Outlaw Values;Correctional Services,Australia,English,tt0095217
28,Alligator,1980-07-02,"A baby alligator is flushed down a toilet and survives by eating discarded lab animals that have been injected with growth hormones. The now gigantic animal escapes the city sewers and goes on a rampage, pursued by a cop and a big-game hunter.",5.954,306,en,Horror;Science Fiction;Thriller,91,"It lives 50 feet beneath the city. It's 36 feet long. It weighs 2,000 pounds...And it's about to break out!",1500000.0,63838039.304709144,Alligator Inc,United States of America,English,tt0080354
29,Heartburn,1986-07-25,"Rachel is a food writer at a New York magazine who meets Washington columnist Mark at a wedding and ends up falling in love with him despite her reservations about marriage. They buy a house, have a daughter, and Rachel thinks they are living happily ever after until she discovers that Mark is having an affair while she is waddling around with a second pregnancy.",5.976,186,en,Comedy;Drama;Romance,108,Sex. Love. Marriage. Some people don't know when to quit.,15000000.0,52600000.0,Paramount Pictures,United States of America,Italiano;English,tt0091188
30,One Crazy Summer,1986-08-08,An aspiring teenage cartoonist and his friends come to the aid of a singer trying to save her family property from developers.,6.005,186,en,Comedy;Romance;Family,89,"They're out of school, out on Nantucket, and out of their minds. With this crowd, anything can happen!",9000000.0,13000000.0,A&M Films;Warner Bros. Pictures,United States of America,English;Français;Español,tt0091680
31,Twins,1988-12-09,Julius and Vincent Benedict are the results of an experiment that would allow for the perfect child. Julius was planned and grows to athletic proportions. Vincent is an accident and is somewhat smaller in stature. Vincent is placed in an orphanage while Julius is taken to a south seas island and raised by philosophers. Vincent becomes the ultimate low life and is about to be killed by loan sharks.,6.014,2192,en,Comedy,107,Only their mother can tell them apart.,15000000.0,216614388.0,Universal Pictures,United States of America,English,tt0096320
32,April Fool's Day,1986-03-27,"As soon as Muffy St. John and her college friends arrive on her parents' secluded island, someone starts trimming the guest list... one murder at a time.",6.056,320,en,Horror;Mystery,88,Guess who's going to be the life of the party?,5000000.0,63838039.304709144,YCTM;Hometown Films;Paramount Pictures,United States of America,English,tt0090655
33,Police Academy 2: Their First Assignment,1985-03-28,"Officer Carey Mahoney and his cohorts have finally graduated from the Police Academy and are about to hit the streets on their first assignment. Question is, are they ready to do battle with a band of graffiti-tagging terrorists? Time will tell, but don't sell short this cheerful band of doltish boys in blue.",6.062,1494,en,Comedy;Crime,87,"To protect, to serve... and make you laugh. America's funniest crimebusters are back!",7600000.0,55600000.0,The Ladd Company;Warner Bros. Pictures,United States of America,English,tt0089822
34,Airplane II: The Sequel,1982-12-10,"A faulty computer causes a passenger space shuttle to head straight for the sun, and man-with-a-past Ted Striker must save the day and get the shuttle back on track – again – all the while trying to patch up his relationship with Elaine.",6.08,1065,en,Comedy,85,For the ride of your life... All you need for Christmas are your two front seats!,15000000.0,27200000.0,Paramount Pictures,United States of America,English,tt0083530
35,American Gigolo,1980-02-08,"Julian makes a lucrative living as an escort to older women in the Los Angeles area. He begins a relationship with Michelle, a local politician's wife, without expecting any pay. One of his clients is murdered and Detective Sunday begins pumping him for details on his different clients, something he is reluctant to do considering the nature of his work. Julian begins to suspect he's being framed. Meanwhile Michelle begins to fall in love with him.",6.086,611,en,Crime;Drama;Mystery,117,He's the highest paid lover in Beverly Hills. He leaves women feeling more alive than they've ever felt before. Except one.,5000000.0,52700000.0,Paramount Pictures;Freddie Fields Productions,United States of America,Deutsch;svenska;English;Français,tt0080365
36,Youngblood,1986-01-31,A skilled young hockey prospect hoping to attract the attention of professional scouts is pressured to show that he can fight if challenged during his stay in a Canadian minor hockey town. His on-ice activities are complicated by his relationship with the coach's daughter.,6.093,211,en,Drama;Romance,110,The ice... The fire... The fight... To be the best.,13112079.2,63838039.304709144,United Artists;Guber/Peters Company,United States of America,English,tt0092272
37,Cobra,1986-01-01,A tough-on-crime street cop must protect the only surviving witness to a strange murderous cult with far reaching plans.,6.1,1707,en,Action;Crime;Thriller,87,Crime is a disease. Meet the cure.,25000000.0,49042224.0,The Cannon Group;Warner Bros. Pictures;Golan-Globus Productions,United States of America,English,tt0090859
38,Cocktail,1988-07-29,"After being discharged from the Army, Brian Flanagan moves back to Queens and takes a job in a bar run by Doug Coughlin, who teaches Brian the fine art of bar-tending. Brian quickly becomes a patron favorite with his flashy drink-mixing style, and Brian adopts his mentor's cynical philosophy on life and goes for the money.",6.106,1409,en,Romance;Drama;Comedy,104,"When he pours, he reigns.",20000000.0,171504781.0,Interscope Communications;Touchstone Pictures;Silver Screen Partners III,United States of America,English;Português;Español,tt0094889
39,Peggy Sue Got Married,1986-10-10,"Peggy Sue faints at a high school reunion. When she wakes up she finds herself in her own past, just before she finished school.",6.119,539,en,Comedy;Drama;Fantasy,103,"Knowing what you know now, what would you do differently?",18000000.0,41382841.0,American Zoetrope;TriStar Pictures;Rastar Productions;Delphi V,United States of America,English,tt0091738
40,Crimes of the Heart,1986-12-12,Three sisters try to come to grips with the meaning of their mother's suicide.,6.119,59,en,Comedy;Drama,105,Meg just left one. Lenny never had one. Babe just shot one. The MaGrath sisters sure have a way with men.,13112079.2,22905522.0,DEG;Crimes of the Heart S.A;De Laurentiis,United States of America,English,tt0090886
41,Jumpin' Jack Flash,1986-10-09,"Terry works for a bank, and uses computers to communicate with clients all over the world. One day, she gets a strange coded message from an unknown source. After decoding the message, Terry becomes embroiled in an espionage ring. People are killed, and Terry is chased. Throughout, she remains in contact with this mysterious person, who needs Terry's help save his life.",6.125,339,en,Romance;Comedy;Thriller,105,A man named Jack has got her jumpin' and the world may never be the same!,18000000.0,29844101.0,Lawrence Gordon Productions;Silver Pictures;20th Century Fox,United States of America,English,tt0091306
42,St. Elmo's Fire,1985-06-28,"A group of friends graduates from the halls of Georgetown University into lives that revolve around sex and career aspirations. Kirby waits tables to pay for law school. His roommate Kevin struggles at a D.C. newspaper as he searches for the meaning of love. Jules may be an object of adoration and envy, but secretly she has problems of her own. Demure Wendy is in love with Billy—a loveable sax player and an irresponsible drunk. Alec wants it all: a career in politics and the appearance of a traditional home life. Alec’s girlfriend, Leslie, is an ambitious architect who doesn't know about his infidelity, but his new allegiance to the Republican Party is already enough to put her off marriage.",6.143,514,en,Drama;Romance;Comedy,110,The passion burns deep.,13112079.2,37803872.0,Columbia Pictures,United States of America,English,tt0090060
43,Throw Momma from the Train,1987-12-11,"Larry Donner, an author with a cruel ex-wife, teaches a writing workshop in which one of his students, Owen, is fed up with his domineering mother. When Owen watches a Hitchcock classic that seems to mirror his own life, he decides to put the movie's plot into action and offers to kill Larry's ex-wife, if Larry promises to murder his mom. Before Larry gets a chance to react to the plan, it seems that Owen has already set things in motion.",6.163,549,en,Comedy;Crime,88,Owen asked his friend Larry for a small favor.,14000000.0,57915972.0,Orion Pictures,United States of America,English,tt0094142
44,First Name: Carmen,1983-09-04,"The protagonist is Carmen X, a sexy female member of a terrorist gang. She asks her uncle Jean, a washed-up film director if she can borrow his beachside house to make a film with some friends, but they are in fact planning to rob a bank. During the robbery she falls in love with a security guard. The film intercuts between Carmen's escape with the guard, her uncle's attempt to make a comeback film, and a string quartet attempting to perform Beethoven.",6.165,88,fr,Drama;Comedy;Romance,85,Sin tagline,13112079.2,63838039.304709144,Sara Films;JLG Films;Films A2,France,English;Français,tt0086153
45,Spies Like Us,1985-12-06,"Two bumbling government employees think they are U.S. spies, only to discover that they are actually decoys for nuclear war.",6.175,607,en,Comedy;Adventure,102,"With spies like these, who needs enemies?",22000000.0,60088980.0,AAR Films;Warner Bros. Pictures,United States of America;United Kingdom,English;Pусский,tt0090056
46,Short Circuit 2,1988-07-06,"Robot Johnny 5 moves to the city to help his friend Ben Jahrvi with his toy manufacturing enterprise, only to be manipulated by criminals who want to use him for their own nefarious purposes.",6.182,576,en,Comedy;Family;Science Fiction;Drama,110,The adventures of America's most electric leading man continue.,10000000.0,21600000.0,TriStar Pictures;The Turman-Foster Company,United States of America,English,tt0096101
47,Teen Wolf,1985-08-23,When a shy teenager's new-found powers help him score at basketball - and with the popular girls - he has some pretty hairy decisions to make.,6.186,1108,en,Comedy;Fantasy;Romance,91,He always wanted to be special... but he never expected this!,1200000.0,80000000.0,Wolfkill;Atlantic Releasing Corporation,United States of America,English,tt0090142
48,Labyrinth of Passion,1982-09-29,"An array of outrageous people, including a desperate nymphomaniac and a terrorist with an acute sense of smell, seek love and happiness in Madrid.",6.2,112,es,Comedy;Drama;Romance,100,The Craziest and Funiest!,13112079.2,63838039.304709144,Alphaville S.A.,Spain,Español,tt0084228
49,Caravaggio,1986-08-29,"A retelling of the life of the celebrated 17th-century Baroque painter Michelangelo Merisi da Caravaggio through his brilliant, nearly blasphemous paintings and his flirtations with the underworld.",6.2,137,en,Drama;History;Romance,93,His passion came with a price.,13112079.2,63838039.304709144,BFI;Film4 Productions,United Kingdom,English;Italiano,tt0090798
50,We're No Angels,1989-06-02,Two escaped cons' only prayer to escape is to pass themselves off as priests and pass by the police blockade at the border into the safety of Canada.,6.2,485,en,Comedy;Crime,106,Escaped convicts disguised as priests. It'll take a miracle to get away with this one.,20000000.0,63838039.304709144,Paramount Pictures,United States of America,English;Français;Latin,tt0098625
51,Explorers,1985-07-12,"Middle schooler Ben spends his free time watching sci-fi films, playing video games and reading comic books. Surprisingly, his affinity for all things fantastical yields a real result – when he has a vivid dream about technology, his prodigy best friend Wolfgang manages to create a working spacecraft. Joined by their buddy Darren, the boys take off into outer space and encounter some very odd extraterrestrial life.",6.206,440,en,Family;Science Fiction;Fantasy,109,The adventure begins in your own back yard.,25000000.0,9900000.0,Paramount Pictures,United States of America,English;Deutsch,tt0089114
52,Mad Max Beyond Thunderdome,1985-06-29,"Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.",6.214,2816,en,Action;Adventure;Science Fiction,107,Hold out for Mad Max. This is his greatest adventure.,10000000.0,36230219.0,Kennedy Miller Productions,Australia,English,tt0089530
53,Electric Dreams,1984-07-20,"Miles buys himself a state-of-the-art computer that starts expressing thoughts and emotions after having champagne spilled on it. Things start getting out of hand when both Miles and Edgar, the computer, fall in love with Madeline, an attractive neighbor.",6.217,159,en,Comedy;Science Fiction;Music,96,"The most unusual triangle in the history of love: a boy, a girl, and a computer.",13112079.2,2193612.0,Virgin Vision,United Kingdom;United States of America,English,tt0087197
54,Red Heat,1988-06-17,A tough Russian policeman is forced to partner up with a cocky Chicago police detective when he is sent to Chicago to apprehend a Georgian drug lord who killed his partner and fled the country.,6.22,1409,en,Action;Crime,104,Moscow's toughest detective. Chicago's craziest cop. There's only one thing worse than making them mad. Making them partners.,29000000.0,34994648.0,Carolco Pictures;Lone Wolf;Oak Pictures;Lone Wolf Pictures;TriStar Pictures,United States of America;Hungary,English;Pусский,tt0095963
55,Wildcats,1986-02-14,"Molly is a high school track coach who knows just as much about football as anyone else on the planet. When a football coach's position becomes vacant, she applies for the job, despite snickers from fellow staff members and her former husband.",6.249,183,en,Comedy,106,Her dream was to coach high school football. Her nightmare was Central High.,13112079.2,63838039.304709144,Hawn / Sylbert Movie Company;Warner Bros. Pictures,United States of America,English,tt0092214
56,The Karate Kid Part II,1986-06-18,"After discovering that his father is at death's door, Mr. Miyagi sets out to Japan, to see him with Daniel. Upon arriving, Miyagi must confront an old rival. Meanwhile, Daniel encounters a new love, and some new enemies.",6.282,2116,en,Adventure;Drama;Action;Romance;Family,113,"This time, the combat is real.",13000000.0,115103979.0,Columbia Pictures;Delphi II Productions,United States of America;China,English;Español,tt0091326
57,Bachelor Party,1984-06-29,"On the eve of his wedding to his longtime girlfriend, unassuming nice guy Rick is dragged out for a night of debauchery by his friends.",6.285,626,en,Comedy,105,A man's tradition every woman should know about.,6000000.0,38435947.0,Twin Continental;Bachelor Party Productions;Aspect Ratio Film;20th Century Fox,United States of America,English;日本語,tt0086927
58,The Company of Wolves,1984-09-21,"An adaptation of Angela Carter's fairy tales. Young Rosaleen dreams of a village in the dark woods, where Granny tells her cautionary tales in which innocent maidens are tempted by wolves who are hairy on the inside. As Rosaleen grows into womanhood, will the wolves come for her too?",6.299,311,en,Horror;Fantasy,95,The Desire...The Fantasy...The Nightmare.,2000000.0,4389334.0,Palace Pictures;ITC Entertainment;The Cannon Group;Film4 Productions,United Kingdom,English,tt0087075
59,Used Cars,1980-07-11,"When the owner of a struggling used car lot is killed, it's up to the lot's hot-shot salesman to save the property from falling into the hands of the owner's ruthless brother and used-car rival.",6.3,238,en,Comedy,113,"Like new, great looking and fully loaded with laughs.",8000000.0,11715321.0,Columbia Pictures,United States of America,English,tt0081698
60,"Honey, I Shrunk the Kids",1989-06-23,The scientist father of a teenage girl and boy accidentally shrinks his and two other neighborhood teens to the size of insects. Now the teens must fight diminutive dangers as the father searches for them.,6.3,2964,en,Adventure;Comedy;Family;Science Fiction,93,"The most astonishing, innovative, backyard adventure of all time!",18000000.0,222724172.0,Walt Disney Pictures;Silver Screen Partners III,United States of America,English,tt0097523
61,Great Balls of Fire!,1989-06-30,"The story of Jerry Lee Lewis, arguably the greatest and certainly one of the wildest musicians of the 1950s. His arrogance, remarkable talent, and unconventional lifestyle often brought him into conflict with others in the industry, and even earned him the scorn and condemnation of the public.",6.3,304,en,Drama;History;Music,108,The true story of a legend.,17000000.0,13700000.0,Orion Pictures,United States of America,English,tt0097457
62,Firestarter,1984-05-11,"Charlene ""Charlie"" McGee has the amazing ability to start fires with just a glance. Can her psychic power and the love of her father save her from the threatening government agency which wants to destroy her?",6.303,666,en,Horror;Thriller;Science Fiction,115,She has the power to set objects on fire with just one glance!,15000000.0,17080167.0,Dino De Laurentiis Company;Universal Pictures,United States of America,English,tt0087262
63,Bad Taste,1987-12-01,"A team from the intergalactic fast food chain Crumb's Crunchy Delights descends on Earth, planning to make human flesh the newest taste sensation. After they wipe out the New Zealand town Kaihoro, the country’s Astro-Investigation and Defense Service (AIaDS) is called in to deal with the problem. Things are complicated due to Giles, an aid worker who comes to Kaihoro the same day to collect change from the residents. He is captured by the aliens, and AIaDS stages a rescue mission that quickly becomes an all-out assault on the aliens’ headquarters.",6.327,796,en,Action;Comedy;Horror;Science Fiction,92,Watch out Aliens... here comes Derek!,150000.0,63838039.304709144,WingNut Films;New Zealand Film Commission,New Zealand,English,tt0092610
64,Back to School,1986-06-13,"Self-made millionaire Thornton Melon decides to get a better education and enrolls at his son Jason's college. While Jason tries to fit in with his fellow students, Thornton struggles to gain his son's respect, giving way to hilarious antics.",6.329,420,en,Comedy,96,"He enrolled in college for the pursuit of finer things...like co-eds, shapely professors, fun and rock and roll.",11000000.0,91258000.0,Orion Pictures;Paper Clip Productions,United States of America,English,tt0090685
65,Less Than Zero,1987-11-06,"A college freshman returns to Los Angeles for Christmas at his ex-girlfriend's request, but discovers that his former best friend has an out-of-control drug habit.",6.346,279,en,Drama;Crime;Romance,98,It only looks like the good life.,8000000.0,12396383.0,Amercent Films;American Entertainment Partners L.P.;20th Century Fox,United States of America,English;Deutsch;Español,tt0093407
66,Melvin and Howard,1980-09-19,"The story of hard-luck Melvin Dummar, who claimed to have received a will naming him an heir to the fortune of Howard Hughes.",6.357,63,en,Comedy;Drama,95,"Poor Melvin. All he wanted was to be Milkman of the Month. Instead, he lost his job, his truck, and his wife. Then Howard Hughes left him $156,000,000.",13112079.2,63838039.304709144,Universal Pictures,United States of America,English,tt0081150
67,Prizzi's Honor,1985-06-14,"Charley Partanna is a hitman who works for the Prizzis, one of the richest crime families in the US. When he sees Irene Walker, it's love at first sight. But he soon finds that she, too, is a killer for hire. Charley can overlook his suspicions, but he can't turn off his heart. And the couple must remember that even if they love each other, the Prizzis love only money.",6.358,365,en,Romance;Comedy;Crime,124,Hired killers by day. Devoted lovers by night. Until they found out their next assignment was each other.,13112079.2,26657534.0,20th Century Fox;ABC Motion Pictures,United States of America,English,tt0089841
68,The Mosquito Coast,1986-11-26,"Allie Fox, an American inventor exhausted by the perceived danger and degradation of modern society, decides to escape with his wife and children to Belize. In the jungle, he tries with mad determination to create a utopian community with disastrous results.",6.359,458,en,Drama;Adventure,119,He went too far.,25000000.0,14302779.0,Warner Bros. Pictures,United States of America,English,tt0091557
